"Category";"CommonName";"FullName";"ShortName";"OrgInfo";"ObjectAddress";"ChiefOrg";"ChiefName";"ChiefPosition";"PublicPhone";"Fax";"Email";"WorkingHours";"ClarificationOfWorkingHours";"WebSite";"global_id";"LandArea";"ExpositionArea";"TotalObjAmount";"PaintingsAmount";"GraphicsAmount";"SculptureAmount";"AppliedArtsAmount";"NumismatObjAmount";"ArchObjAmount";"EthnoObjAmount";"WeaponsObjAmount";"RarePaperAmount";"NatureObjAmount";"TechHistoryObjAmount";"OtherObjAmount";"TotalPreciousObjAmount";"geoData";"geodata_center";
"Категория";"Общепринятое наименование";"Полное официальное наименование";"Сокращенное официальное наименование";"Информация о юридическом лице";"Адреса объекта";"Вышестоящая организация";"ФИО руководителя";"Должность руководителя";"Контактный телефон";"Факс";"Адрес электронной почты";"График работы";"Уточнение к графику работы";"Сайт";"global_id";"Общая площадь (кв. м.)";"Выставочная площадь (кв. м.)";"Всего предметов";"Количество объектов живописи";"Количество объектов графики";"Количество скульптурных объектов";"Количество изделий прикладного искусства";"Количество предметов нумизматики";"Количество предметов археологии";"Количество предметов этнографии";"Количество предметов оружия";"Количество документов, редких книг";"Количество предметов естественнонаучной коллекции";"Количество предметов истории техники";"Количество прочих предметов";"Количество предметов, содержащих драгоценные металлы и камни (из общего количества объектов)";"geoData";"geodata_center";
"Музей";"Музей С.А. Есенина";"Государственное бюджетное учреждение культуры города Москвы «Московский государственный музей С.А. Есенина»";"ГБУК г. Москвы «МГМ С.А. Есенина»";"nested data";"nested data";"Департамент культуры города Москвы";"Робинов Олег Юрьевич";"директор";"nested data";"nested data";"nested data";"nested data";"Режим работы: Отдел музея (переулок Чернышевского) : ежедневно с 10:00 до 18:00, понедельник и вторник - выходные (в понедельник и вторник открыт только в дни экспонирования передвижных выставок и во время проведения культурно-массовых мероприятий); Отдел музея (улица Клязьминская) - понедельник, вторник - выходные дни, четверг с 13.00-21.00, среда, пятница, суббота, воскресенье с 10.00-18.00; Основная экспозиция (Строченовский переулок) - среда, пятница, суббота, воскресенье с 10 до 18ч, четверг - с 13 до 21.00, понедельник и вторник - выходные, касса закрывается на час раньше.";"esenin-museum.ru";"2639269528";"4241.9";"187.5";"5551";"158";"368";"46";"594";"12";"";"";"";"811";"";"8";"3554";"";"{coordinates=[[37.630744, 55.726663], [37.609302682, 55.782168006], [37.529163155, 55.893201931]], type=MultiPoint}";"";
"Музей";"Выставочные залы в Государственном музее А.С. Пушкина на Арбате";"Государственное бюджетное учреждение культуры города Москвы «Государственный музей А.С.Пушкина», выставочные залы";"ГБУК «ГМП», Выставочные залы";"nested data";"nested data";"Государственное бюджетное учреждение культуры города Москвы «Государственный музей А.С.Пушкина»";"Богатырев Евгений Анатольевич";"директор";"nested data";"nested data";"nested data";"nested data";"Касса до 17.30, в четверг до 20.30.";"pushkinmuseum.ru";"2639269587";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"{coordinates=[[37.585378084, 55.747357758]], type=MultiPoint}";"";
"Музей";"Дом-музей Марины Цветаевой";"Государственное бюджетное учреждение культуры города Москвы «Дом-музей Марины Цветаевой»";"ГБУК г. Москвы «Дом-музей Марины Цветаевой»";"nested data";"nested data";"Департамент культуры города Москвы";"Чурсина Юлия Александровна";"директор";"nested data";"nested data";"nested data";"nested data";"Последняя пятница месяца - санитарный день";"dommuseum.ru";"2639269595";"1180.8";"535";"40899";"104";"1031";"79";"566";"1";"";"";"";"39118";"";"";"";"";"{coordinates=[[37.59001534, 55.754001415], [37.590200099, 55.754221088]], type=MultiPoint}";"";
"Музей";"Музейно-выставочный центр «Ильинка»";"Государственное бюджетное учреждение культуры города Москвы «Музейное объединение «Музей Москвы», Музейно-выставочный центр «Ильинка»";"ГБУК города Москвы «Музейное объединение «Музей Москвы», Музейно-выставочный центр «Ильинка»";"nested data";"nested data";"Государственное бюджетное учреждение культуры города Москвы «Музейное объединение «Музей Москвы»";"Трапкова Анна Владимировна";"генеральный директор";"nested data";"nested data";"nested data";"nested data";"";"mosmuseum.ru";"2639269598";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"{coordinates=[[37.626225, 55.753236]], type=MultiPoint}";"";
"Музей";"Музей обороны Москвы";"Государственное бюджетное учреждение культуры города Москвы «Государственный музей обороны Москвы»";"ГБУК г. Москвы «Государственный музей обороны Москвы»";"nested data";"nested data";"Департамент культуры города Москвы";"Сереброва Елена Владимировна";"директор";"nested data";"nested data";"nested data";"nested data";"Касса музея закрывается на 30 мин. раньше окончания работы музея. Последняя пятница месяца - санитарный день.";"gmom.ru";"2639269603";"2900";"2177";"61802";"423";"4074";"130";"1700";"3639";"1991";"";"258";"36324";"";"46";"20592";"224";"{coordinates=[[37.467240369, 55.676246764]], type=MultiPoint}";"";
"Музей";"Музей В.А. Тропинина";"Государственное бюджетное учреждение культуры города Москвы «Музей В.А. Тропинина и московских художников его времени»";"ГБУК г. Москвы «Музей В.А. Тропинина»";"nested data";"nested data";"Департамент культуры города Москвы";"Журавлева Ольга Игоревна";"директор";"nested data";"nested data";"nested data";"nested data";"";"museum-tropinina.ru";"2639269656";"645";"233";"2865";"533";"433";"97";"1331";"";"";"";"";"21";"";"";"450";"";"{coordinates=[[37.622786431, 55.733791967], [37.622805345, 55.733475648]], type=MultiPoint}";"";
"Музей";"Музей-усадьба «Останкино»";"Государственное бюджетное учреждение культуры города Москвы «Государственный дворцово-парковый музей-заповедник «Останкино и Кусково»";"ГБУК г. Москвы «ГМЗ «Останкино и Кусково»";"nested data";"nested data";"Департамент культуры города Москвы";"Авдонин Сергей Владимирович";"директор";"nested data";"nested data";"nested data";"nested data";"Музей закрыт на реставрацию.";"ostankino-museum.ru";"2639269676";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"{coordinates=[[37.61453, 55.824961]], type=MultiPoint}";"";
"Музей";"Музей В. В. Маяковского";"Государственное бюджетное учреждение культуры города Москвы «Государственный музей В. В. Маяковского»";"ГБУК г. Москвы ГММ";"nested data";"nested data";"Департамент культуры города Москвы";"Лисенко Владимир Владимирович";"директор";"nested data";"nested data";"nested data";"nested data";"В настоящее время основное здание Музея (на Лубянском проезде) закрыто на ремонт. Режим работы музея-квартир по адресам ул.Красная Пресня, д.36 стр.1 и Студенецкий пер., д.6: вторник, среда, пятница, суббота: 12:00 - 20:00; четверг: 13:00 - 21:00; понедельник, воскресенье - выходные дни. Вход на выставку осуществляется по предварительной записи.";"музеймаяковского.рф";"2639269705";"";"";"63110";"177";"11881";"85";"932";"63";"";"";"2";"33063";"";"18";"16889";"61";"{coordinates=[[37.55652421, 55.758465533], [37.567000193, 55.762519818]], type=MultiPoint}";"";
"Музей";"Территория «Коломенское»";"Государственное бюджетное учреждение культуры города Москвы «Московский государственный объединенный художественный историко-архитектурный и природно-ландшафтный музей-заповедник», усадьба «Коломенское»";"Московский государственный объединенный музей-заповедник, Московский объединенный музей-заповедник, МГОМЗ, территория усадьбы «Коломенское»";"nested data";"nested data";"Государственное бюджетное учреждение культуры города Москвы «Московский государственный объединенный художественный историко-архитектурный и природно-ландшафтный музей-заповедник»";"Люльчук Марина Васильевна";"директор";"nested data";"nested data";"nested data";"nested data";"С 1 мая по 30 сентября (летний период) вторник-воскресенье 10:00 - 18:00, понедельник выходной.";"mgomz.ru";"2639269716";"2548947";"7624.4";"167506";"2143";"12061";"73";"24733";"3428";"88367";"1835";"115";"10291";"";"";"2519";"1114";"{coordinates=[[37.670559394, 55.67005319], [37.668989666, 55.667203968], [37.670798111, 55.667268297], [37.669196832, 55.667290989], [37.664575386, 55.668218299], [37.671636112, 55.668594004], [37.661297726, 55.663999086], [37.669525099, 55.6681638], [37.660906124, 55.664106501], [37.669972682, 55.666894868], [37.666986949, 55.667363648], [37.677863741, 55.673605718], [37.670670516, 55.673877204], [37.665214967, 55.672198238], [37.656204212, 55.655869502], [37.669598514, 55.671137215], [37.675347137, 55.672930149], [37.665149379, 55.672166308], [37.669383056, 55.667480466], [37.680874832, 55.671923503], [37.671445377, 55.674833431], [37.668858874, 55.673991939], [37.669770825, 55.667139713], [37.680266578, 55.67209413], [37.671285153, 55.674754039]], type=MultiPoint}";"";
